Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
"2.2k","50.1746mm","37.531mm","Top",0,"","2.2kΩ"
"2N3904","61.6046mm","0mm","Top",180,"",""
"2N3904","55.8895mm","15.8946mm","Top",180,"",""
"4.7k","61.6046mm","6.4004mm","Top",180,"","4.7kΩ"
"5V","-75.2918mm","0.8206mm","Top",270,"",""
"12V","75.4881mm","31.6679mm","Top",90,"",""
"15V","-75.4318mm","-40.6831mm","Top",270,"",""
"47uf 35v","-45.4743mm","-26.5826mm","Top",0,"CAP-TH_BD5.0-P2.00-D0.8-FD",""
"47uf 35v","-56.6114mm","-26.5826mm","Top",0,"CAP-TH_BD5.0-P2.00-D0.8-FD",""
"1000uf 50v","-71.0553mm","-19.981mm","Top",180,"CAP-TH_BD13.0-P5.00-D0.6-FD",""
"C1","-45.4743mm","-35.6208mm","Top",0,"","0.1ufF"
"C2","-56.3121mm","-35.6207mm","Top",0,"","0.1ufF"
"C3","-23.5657mm","-33.0807mm","Top",90,"","1ufF"
"C4","-9.9137mm","-33.0808mm","Top",90,"","1ufF"
"ESP32","5.3264mm","21.279mm","Top",90,"",""
"IN5819","-35.8415mm","-34.2026mm","Top",90,"",""
"IN5819","2.7866mm","-7.62mm","Top",90,"",""
"IN5819","2.7865mm","-37.0979mm","Top",90,"",""
"IN5819","-35.8416mm","-7.6201mm","Top",90,"",""
"IXDI","25.6465mm","-31.6326mm","Top",90,"TO-220-5L_L10.2-W4.5-P1.70-BL",""
"IXDN","40.815mm","-9.7478mm","Top",90,"TO-220-5L_L10.2-W4.5-P1.70-BL",""
"L7805","69.8595mm","18.739mm","Top",180,"",""
"MBR140","59.5748mm","-8.0477mm","Top",180,"DO-201_BD5.3-L9.5-P13.50-D1.4-RD",""
"OLED","-38.6283mm","20.009mm","Top",270,"",""
"OUT","-16.7099mm","-8.0477mm","Top",0,"",""
"Rotery Encoder","40.7752mm","25.1676mm","Top",90,"",""
